Date,Start_Time,Away_Team,Away_Points,Home_Team,Home_Points,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Season,Month,Is_Future,Is_Scheduled,Is_Played,Home_Points_Scored,Home_Points_Allowed,Away_Points_Scored,Away_Points_Allowed,Home_Points_Scored_Roll5,Home_Points_Allowed_Roll5,Away_Points_Scored_Roll5,Away_Points_Allowed_Roll5,Home_Point_Diff_Roll5,Away_Point_Diff_Roll5,Home_Win,Point_Diff,Home_Rest_Days,Away_Rest_Days,Home_Streak,Away_Streak
2021-10-19 05:00:00,7:30p,Brooklyn Nets,104.0,Milwaukee Bucks,127.0,Box Score,,17341.0,2:20,Fiserv Forum,,2022,,False,True,True,127.0,104.0,104.0,127.0,127.0,104.0,104.0,127.0,23.0,-23.0,1,23,,,1,-1
2021-10-19 05:00:00,10:00p,Golden State Warriors,121.0,Los Angeles Lakers,114.0,Box Score,,18997.0,2:33,Crypto.com Arena,,2022,,False,True,True,114.0,121.0,121.0,114.0,114.0,121.0,121.0,114.0,-7.0,7.0,0,-7,8.0,3.0,-1,1
2021-10-20 05:00:00,7:00p,Indiana Pacers,122.0,Charlotte Hornets,123.0,Box Score,,15521.0,2:20,Spectrum Center,,2022,,False,True,True,123.0,122.0,122.0,123.0,123.0,122.0,122.0,123.0,1.0,-1.0,1,1,3.0,367.0,1,-1
2021-10-20 05:00:00,7:00p,Chicago Bulls,94.0,Detroit Pistons,88.0,Box Score,,20088.0,2:09,Little Caesars Arena,,2022,,False,True,True,88.0,94.0,94.0,88.0,88.0,94.0,94.0,88.0,-6.0,6.0,0,-6,1.0,2.0,-1,1
2021-10-20 05:00:00,7:30p,Boston Celtics,134.0,New York Knicks,138.0,Box Score,2OT,19812.0,2:54,Madison Square Garden (IV),,2022,,False,True,True,138.0,134.0,134.0,138.0,138.0,134.0,134.0,138.0,4.0,-4.0,1,4,356.0,366.0,1,-1
2021-10-20 05:00:00,7:30p,Washington Wizards,98.0,Toronto Raptors,83.0,Box Score,,19800.0,2:15,Scotiabank Arena,,2022,,False,True,True,83.0,98.0,98.0,83.0,83.0,98.0,98.0,83.0,-15.0,15.0,0,-15,4.0,3.0,-1,1
2021-10-20 05:00:00,8:00p,Cleveland Cavaliers,121.0,Memphis Grizzlies,132.0,Box Score,,15975.0,2:07,FedEx Forum,,2022,,False,True,True,132.0,121.0,121.0,132.0,132.0,121.0,121.0,132.0,11.0,-11.0,1,11,2.0,358.0,1,-1
2021-10-20 05:00:00,8:00p,Houston Rockets,106.0,Minnesota Timberwolves,124.0,Box Score,,16079.0,2:12,Target Center,,2022,,False,True,True,124.0,106.0,106.0,124.0,124.0,106.0,106.0,124.0,18.0,-18.0,1,18,1.0,2.0,1,-1
2021-10-20 05:00:00,8:00p,Philadelphia 76ers,117.0,New Orleans Pelicans,97.0,Box Score,,12845.0,2:04,Smoothie King Center,,2022,,False,True,True,97.0,117.0,117.0,97.0,97.0,117.0,117.0,97.0,-20.0,20.0,0,-20,2.0,5.0,-1,1
2021-10-20 05:00:00,8:30p,Orlando Magic,97.0,San Antonio Spurs,123.0,Box Score,,16697.0,2:13,AT&T Center,,2022,,False,True,True,123.0,97.0,97.0,123.0,123.0,97.0,97.0,123.0,26.0,-26.0,1,26,360.0,9.0,1,-1
